dataset,encoder,tau,n_times,run,OA,KA,AA
IP,conv_sa,1,25,1,98.94,98.73,98.94
IP,conv_sa,1,25,2,98.64,98.37,98.64
IP,conv_sa,1,25,3,98.45,98.14,98.45
IP,conv_sa,1,25,4,99.55,99.46,99.55
IP,conv_sa,1,25,5,99.62,99.55,99.62
