PU,conv_sa,1.8,1,1,63.76,45.64,63.76
PU,conv_sa,1.8,5,1,68.73,53.09,68.73
PU,conv_sa,1.8,10,1,70.41,55.62,70.41
PU,conv_sa,1.8,15,1,74.12,61.18,74.12
PU,conv_sa,1.8,20,1,77.36,66.05,77.36
PU,conv_sa,1.8,25,1,77.58,66.38,77.58
PU,conv_sa,1,25,1,78.29,67.44,78.29
